,SPY,QQQ,IWM,HYG,LQD,TLT,SHY,SGOV
2016-01-04,100.0,101.28,96.24,46.07,79.0,90.82,68.84,100.0
2016-01-05,100.16949152542371,101.1,96.45,46.15,79.05,90.45,68.8,100.0
2016-01-06,98.90707188778491,100.13,94.98,46.15,79.36,91.67,68.84,100.0
2016-01-07,96.53419053185269,97.0,92.42,45.85,79.42,91.84,68.87,100.0
2016-01-08,95.47632963179427,96.2,90.85,45.73,79.48,92.25,68.91,100.0
2016-01-11,95.56984219754528,96.5,90.45,45.66,79.23,91.24,68.94,100.0
2016-01-12,96.34132086499122,97.62,90.72,45.71,79.41,92.55,68.95,100.0
2016-01-13,93.9392168322618,94.25,87.81,45.2,79.65,93.47,68.99,100.0
2016-01-14,95.47632963179426,96.26,89.03,45.4,79.25,92.59,69.0,100.0
2016-01-15,93.43074225599062,93.27,87.58,44.81,79.14,94.04,69.06,100.0
2016-01-19,93.55347749853883,93.47,86.4,44.65,78.78,93.74,69.05,100.0
2016-01-20,92.35534774985386,93.18,86.76,44.35,78.9,94.73,69.1,100.0
2016-01-21,92.8696668614845,93.28,86.56,44.65,78.67,94.09,69.09,100.0
2016-01-22,94.77498538866158,95.98,88.65,45.34,78.72,93.73,69.07,100.0
2016-01-25,93.34307422559904,94.55,86.71,44.89,78.64,94.24,69.07,100.0
2016-01-26,94.61718293395671,95.4,88.42,45.29,78.86,94.28,69.1,100.0
2016-01-27,93.58854471069547,93.03,87.23,45.22,78.64,94.26,69.12,100.0
2016-01-28,94.07364114552892,94.34,87.23,45.45,78.73,94.39,69.12,100.0
2016-01-29,96.37054354178841,96.31,90.07,45.6,79.14,95.19,69.2,100.0
2016-02-01,96.33547632963177,96.57,89.66,45.33,78.89,94.9,69.16,100.0
2016-02-02,94.59964932787841,94.48,87.72,45.0,79.04,96.66,69.25,100.0
2016-02-03,95.16656925774399,94.03,87.84,45.22,78.84,95.86,69.27,100.0
2016-02-04,95.31268264172998,94.02,88.18,45.08,78.88,96.33,69.28,100.0
2016-02-05,93.5008766803039,90.75,85.76,44.74,78.86,96.44,69.27,100.0
2016-02-08,92.2384570426651,89.36,84.36,44.21,79.27,98.51,69.35,100.0
2016-02-09,92.24430157802456,89.09,83.79,44.05,79.0,98.62,69.33,100.0
2016-02-10,92.16832261835184,89.43,83.83,43.98,79.1,99.49,69.33,100.0
2016-02-11,90.96434833430742,89.3,82.92,43.69,79.36,100.18,69.39,100.0
2016-02-12,92.84044418468733,90.66,84.5,44.34,78.92,98.52,69.31,100.0
2016-02-16,94.40677966101697,92.7,86.5,44.37,78.54,97.48,69.27,100.0
2016-02-17,95.94973699590884,94.8,87.86,44.74,78.52,96.88,69.28,100.0
2016-02-18,95.55815312682643,93.72,87.44,44.79,79.16,98.07,69.34,100.0
2016-02-19,95.51139684395092,94.0,87.87,44.87,79.11,98.15,69.28,100.0
2016-02-22,96.89655172413794,95.52,88.87,45.26,79.27,98.1,69.28,100.0
2016-02-23,95.6750438340152,93.95,88.04,45.17,79.43,98.5,69.29,100.0
2016-02-24,96.10753945061367,94.85,88.89,45.24,79.5,98.3,69.31,100.0
2016-02-25,97.27644652250147,95.78,89.7,45.48,79.95,98.66,69.33,100.0
2016-02-26,97.04850964348336,95.66,90.27,45.79,79.92,97.7,69.24,100.0
2016-02-29,96.18351841028638,94.8,89.87,46.28,79.98,98.13,69.28,100.0
2016-03-01,98.55055523085916,97.85,91.8,47.01,79.54,96.4,69.18,100.0
2016-03-02,98.9947399181765,97.88,92.75,46.69,79.7,96.8,69.18,100.0
2016-03-03,99.38047925189947,97.7,93.72,46.85,80.08,97.15,69.2,100.0
2016-03-04,99.70777323202805,97.74,94.23,46.98,80.06,96.53,69.15,100.0
2016-03-07,99.78375219170076,97.13,95.26,47.04,80.15,96.5,69.1,100.0
2016-03-08,98.69666861484512,96.33,92.96,46.71,80.58,97.57,69.15,100.0
2016-03-09,99.18760958503799,96.95,93.43,46.83,80.49,96.97,69.13,100.0
2016-03-10,99.26358854471069,96.8,92.67,47.15,80.82,96.58,69.12,100.0
2016-03-11,100.86499123319696,98.49,94.65,47.72,81.05,95.6,69.05,100.0
2016-03-14,100.73641145528931,98.66,94.41,47.59,81.29,95.9,69.05,100.0
2016-03-15,100.572764465225,98.62,92.94,47.15,81.26,95.99,69.08,100.0
2016-03-16,101.15721800116889,99.5,93.59,47.46,81.65,96.28,69.22,100.0
2016-03-17,101.7942723553477,99.45,95.03,47.76,81.9,96.67,69.21,100.0
2016-03-18,102.28497954412619,99.6,95.89,47.87,82.09,96.88,69.23,100.0
2016-03-21,102.4319745135791,99.99,95.68,47.82,81.99,96.13,69.22,100.0
2016-03-22,102.37317652579793,100.3,95.54,47.69,81.84,96.11,69.18,100.0
2016-03-23,101.69699966631447,99.47,93.78,47.47,82.25,97.2,69.22,100.0
2016-03-24,101.65584107486765,99.5,94.06,47.26,82.22,97.24,69.18,100.0
2016-03-28,101.71463906264881,99.36,94.17,47.05,82.27,97.36,69.2,100.0
2016-03-29,102.65540686714756,100.96,96.79,47.23,82.64,98.38,69.33,100.0
2016-03-30,103.10815137306257,101.45,96.8,47.4,82.54,97.35,69.34,100.0
2016-03-31,102.85532002560353,101.3,97.07,47.46,82.87,98.04,69.37,100.0
2016-04-01,103.55501608019948,102.38,97.5,47.5,83.13,98.3,69.33,100.0
2016-04-04,103.2198675498468,101.99,96.68,47.38,83.14,98.36,69.38,100.0
2016-04-05,102.1909027636763,101.0,95.55,47.2,83.41,99.43,69.41,100.0
2016-04-06,103.30806453151855,102.66,96.64,47.6,83.34,98.71,69.38,100.0
2016-04-07,102.06742698933584,101.19,95.37,47.37,83.56,99.93,69.42,100.0
2016-04-08,102.34377753190734,101.11,95.74,47.58,83.37,99.3,69.42,100.0
2016-04-11,102.10270578200453,100.74,95.44,47.65,83.36,99.17,69.41,100.0
2016-04-12,103.05523318405952,101.59,96.46,47.93,83.04,98.48,69.4,100.0
2016-04-13,104.09595756778623,102.89,98.54,48.24,83.32,98.83,69.36,100.0
2016-04-14,104.10183736656435,102.9,98.42,48.22,83.27,98.36,69.36,100.0
2016-04-15,103.984241391002,102.64,98.67,48.15,83.62,99.2,69.41,100.0
2016-04-18,104.71921623826663,103.18,99.41,48.42,83.71,98.77,69.41,100.0
2016-04-19,105.04848496984121,102.55,99.49,48.63,83.86,98.46,69.38,100.0
2016-04-20,105.14844154906922,102.64,99.64,48.72,83.63,97.38,69.33,100.0
2016-04-21,104.58398086636997,102.64,99.14,48.57,83.59,96.8,69.32,100.0
2016-04-22,104.58398086636997,101.1,100.12,48.67,83.69,96.55,69.32,100.0
2016-04-25,104.40170710424835,101.1,99.41,48.49,83.49,96.15,69.3,100.0
2016-04-26,104.55458187247937,100.6,100.41,48.66,83.45,95.72,69.28,100.0
2016-04-27,104.77213442726972,99.8,100.74,48.94,83.99,96.67,69.33,100.0
2016-04-28,103.81960702521474,98.59,99.59,48.86,84.06,97.07,69.37,100.0
2016-04-29,103.2610261412936,98.07,98.69,48.94,84.15,97.32,69.4,100.0
2016-05-02,104.08419797022998,99.0,99.57,48.94,84.07,96.34,69.37,100.0
2016-05-03,103.17870895839994,98.08,97.94,48.64,84.19,97.55,69.45,100.0
2016-05-04,102.60248867814445,97.45,97.13,48.46,84.05,98.09,69.44,100.0
2016-05-05,102.57896948303198,97.42,96.74,48.42,84.22,98.74,69.46,100.0
