observation_date,available_by,baa_10y_spread_pct,aaa_10y_spread_pct,baa_minus_aaa_pct,nfci_credit_index
2020-02-28,2020-03-04,2.38,1.57,0.81,-0.77
2020-03-06,2020-03-11,2.55,1.62,0.93,-0.72
2020-03-13,2020-03-18,3.30,2.09,1.21,-0.60
2020-03-20,2020-03-25,4.23,3.20,1.03,-0.38
2020-03-27,2020-04-01,3.98,2.23,1.75,-0.22
2020-04-03,2020-04-08,3.92,2.01,1.91,-0.12
2020-04-10,2020-04-15,,,,-0.11
2020-04-17,2020-04-22,3.27,1.76,1.51,-0.17
2020-04-24,2020-04-29,3.25,1.70,1.55,-0.22
2020-05-01,2020-05-06,3.25,1.78,1.47,-0.12
